Tweets,Task A
"From a win in just one Assembly seat of the 118 constituencies it contested for the Telangana Legislature in December last, to winning four Lok Sabha seats and trouncing the ruling Telangana Rashtra Samiti (TRS) in its bastions in the Lok Sabha elections in just four months marks a spectacular performance by the Bharatiya Janata Party (BJP).",0
" Protest music after 2014 screams of unemployment, mob lynchings and lack of freedom.\r\nHe was an ordinary dairy farmer. One day, when he bought a dairy cattle, a group of cow vigilante set upon him and killed him. His fault? He was a Muslim. His name? Pehlu Kh\u2026 [+6230 chars]',",1
" Launching a scathing attack at the opposition, the prime minister iterated that it was his government that took on the terrorists and the trouble-mongers on both sides of the India-Pakistan border.\r\nHours after Congress leader Mani Shankar Aiyar justified his\u2026 [+1960 chars]',",0
"The Congress Party has decided to field Ajay Rai from Varanasi, ending speculation that Priyanka Gandhi would take on Prime Minister Narendra Modi in the constituency.",0
" A zero-rupee note is a banknote imitation issued in India as a means of helping to fight systemic political corruption. The notes are ""paid"" in protest by angry citizens to government functionaries who solicit bribes in return for services which are supposed \u2026 [+6697 chars]",0
" Among the Hindu nationalist organisations that emerged in the 1920s, the RSS and its offshoots today hold the greatest sway. (PTI)\r\nIs the cultural nationalism espoused by those that follow the ideologies of V D Savarkar and M S Golwalkar one that has an esse\u2026 [+5024 chars]',",0
The CBI informed the Supreme Court on Tuesday that it has given a clean chit to Samajwadi Party patron Mulayam Singh Yadav and his family members in a disproportionate assets case of 2013 since sufficient evidence to support the allegations could not be brought out.,0
"The ruling BJP today launched damage control after a rash of comments in favour of Mahatma Gandhi's assassin Nathuram Godse, just two days before the final round of voting for the national election. Pragya Singh Thakur, Union Minister Anant Kumar Hegde and Nalin Kumar Kateel, all contesting the election, have been asked for an explanation within 10 days, BJP president Amit Shah said in a series of tweets on Thursday.",1
"He breaks a television set beaming old pol iticians’ speeches, promises equal opportunities for women. In his campaign videos, MNM leader and actor Kamal Haasan portrays anger and care with a fine balance that comes with practice.",1
" The Bharatiya Janata Party (BJP) has swept all the parliamentary seats in Haryana and Himachal Pradesh in the 2019 Lok Sabha polls. In both the States, the BJP is in power.\r\nAccording to the results announced by Election Commission of India (ECI) on Thursday,\u2026 [+2419 chars]",0
"JAMSHEDPUR: Polarisation of votes in the Jamshedpur Lok Sabha seat will be the biggest challenge for sitting BJP candidate Bidyut Baran Mahato. The mahagathbandhan has played the tribal card by fielding JMM’s Champai Soren, a known name in the tribal strongholds, from this seat, which has both rural and urban voters. ",0
" Congress leader Priyanka Gandhi Vadra on May 14 taunted Prime Minister Narendra Modi on the ''cloud-radar remark'', saying the Prime Ministers truth has now come on ''peoples radar'' and it was time for him to put his radar on the unfulfilled promises.\r\nShe a\u2026 [+1791 chars]",1
 New Delhi:\xa0Narendra Modi was seen and heard at a press conference on Friday for the first time during his prime ministerial tenure on Friday but the event ended with his record of being the only incumbent to never answer questions from reporters fully intact.\u2026 [+4618 chars],0
"A fresh bench comprising Justices Arun Mishra, R. F. Nariman and Deepak Gupta has been constituted. The new bench on Tuesday issued notice to Advocate Utsav Bains who has alleged that he was asked to 'frame' the CJI. The matter will be taken up for hearing on Wednesday.",0
" The Supreme Court on Friday refused to grant interim protection from arrest to an SP-BSP alliance candidate from Ghosi Lok Sabha constituency in Uttar Pradesh, who was seeking relief till May 23 in a rape case against him.\r\n The counsel appearing for petition\u2026 [+244 chars]',",0
"  Many see the election as a referendum on Mr Modi who won a landslide in 2014\r\nIndians will finally find out on Thursday who won the general election after a long and bitter campaign.\r\nPrime Minister Narendra Modi, whose B\u2026 [+6713 chars]',",0
" Uttar Pradesh Chief Minister Yogi Adityanath. (PTI Photo)\r\nFive local political functionaries, including three of the SP, and one each of the BJP and BSP, have either been shot dead or attacked in the week after the Lok Sabha poll results were declared, with \u2026 [+2947 chars]",1
" Sadhvi Pragya Singh Thakur at BJP headquarters in Bhopal. (Source: PTI/File)\r\nThree days after Prime Minister Narendra Modi asserted that he will not be able to forgive BJP candidate and Malegaon blast accused Pragya Singh Thakur from his heart for her commen\u2026 [+1888 chars]',",1
"he bad news is that the numbers look disappointing! The good news is that they conceal more than they reveal.It is true that the phase-wise 2019 voter turnout presents a southward trend. There has been a progressive decline so far, though, the final phase is due on May 19.",0
" After continuous barbs during elections campaigning, Prime Minister Narendra Modi today paid tribute to former Prime Minister Rajiv Gandhi on his death anniversary.\r\n""Tributes to former PM Shri Rajiv Gandhi on his death anniversary,"" Prime Minister Modi tweet\u2026 [+1240 chars]',",1
" New Delhi: With S Jaishankar taking charge as the new external affairs minister on Friday, it has become clear that it will be all systems go for the Modi government. With PM Narendra Modi empowering Jaishankar with his appointment, the new minister is expect\u2026 [+1805 chars]',",0
NEW DELHI: Voting in the phase 2 of the seven-phase Lok Sabha polls is under way in 95 constituencies spread across 11 states and one union terrirory.,0
" PM Modi led the NDA to a massive mandate in 2019 Lok Sabha election, winning 352 of 542 seatsNew Delhi:\xa0Weeks after a controversial cover story that labelled Prime Minister Narendra Modi ""divider-in-chief"", TIME magazine, after the BJP\'s massive election vict\u2026 [+2542 chars]",1
" In a shocking incident, sitting National People’s Party (NPP) MLA Tirong Aboh, his son, and nine others were killed by suspected NSCN (IM) near Bogapani area of Arunachal’s Tirap district on May 21.",0
" West Bengal Chief Minister and Trinamool Congress supremo Mamata Banerjee on Monday called Prime Minister Narendra Modi the greatest danger for the country and said she will give her life to ensure that no riot takes place in the state.\r\n She alleged that BJP\u2026 [+3333 chars]',",1
"After dominating the list of top spenders on Facebook political ads for weeks, pro-Bharatiya Janata Party pages saw a considerable drop in spending, while Congress party’s official page increased its expenditure to more than Rs. 19 lakh.Facebook’s ad report from last week (30.03.2019 – 06.04.2019) reveals that the three top spenders, namely Bharat Ke Mann Ki Baat, Nation With NaMo and My First Vote for Modi, have put a complete stop on sponsoring posts on their pages.",0
" Prime Minister Narendra Modi and BJP Amit Shah at the BJP headquarters in New Delhi on Thursday. (Express photo/Tashi Tobgyal)\r\nIndian voters have spoken in a clear voice: They want the government led by Prime Minister Narendra Modi to continue. At the end of\u2026 [+8312 chars]',",0
"Rivers are considered the source of all life, but in India they are becoming deadly. Every day, across the country, tonnes of waste is dumped into rivers, polluting their waters, choking their flow and endangering millions who rely on them. The Bharatiya Janata Party (BJP)-led National Democratic Alliance (NDA) government has tried to address this, with an emphasis on the Ganga, but failed to make much progress.",1
Fall of #Bjp #President @AmitShah while #BJPWinningMP #BJPWinningMP2018 #Election time many more new things to #WATCH #news #Molitics,1
" Jailed Rashtriya Janata Dal ( RJD) chief Lalu Prasad Yadav, whose party has suffered a major setback in the recent general elections, is in for more trouble as another fodder scam case is fast catching him up.\r\nThe Rs 950 crore fodder scam, probed by the CBI,\u2026 [+2126 chars]',",0
" Reenactments of the Khmer Rouge genocide are annual events in Cambodia. On the grounds of the famous killing fields of Choeung Ek, outside the capital of Phnom Penh, a troupe of young performers will take their positions on an open field. The loudspeakers wil\u2026 [+8026 chars]',",0
"Just a day ahead of the counting of votes for Lok Sabha Elections 2019, an unprecedented row is raging over EVMs, with some Opposition leaders claiming attempts are on to ‘steal the election’ by manipulating these machines.",1
" NEW DELHI: Not just the Lok Sabha polls, Prime Minister Narendra Modi swept the social media too during the election campaign, with his tweets and Facebook posts garnering nearly two trillion impressions over 74 days.\r\nImpressions means the number of times a \u2026 [+1721 chars]',",0
" Mayawati urged Muslims to not vote for the Congress and back the UP alliance of the three parties instead.\r\nThe biggest political alignment ahead of the Lok Sabha elections the gathbandhan between the Samajwadi Party and the BSP unravelled Tuesday with BSP ch\u2026 [+4909 chars]',",1
" Both principal combatants, the incumbent Bharatiya Janata Party (BJP) and the challenger Congress, said they were on course to winning the people\u2019s mandate to govern the nation for the next five years as the curtain dropped on Friday on a bitter and bruising \u2026 [+6156 chars]',",0
Can Hindi pundits (who poke holes in other non Hindi speakers’ Hindi posts) please explain this...?,1
" The Bharatiya Janata Party (BJP) has swept all the parliamentary seats in Haryana and Himachal Pradesh in the 2019 Lok Sabha polls. In both the States, the BJP is in power.\r\nAccording to the results announced by Election Commission of India (ECI) on Thursday,\u2026 [+2419 chars]",0
" Kolkata: The BJP on Monday said its slogans in West Bengal would be ""Jai Shri Ram"" and ""Jai Maha Kali and the party would campaign in the state till the Trinamool Congress (TMC) government was ousted. ""Our slogans in Bengal would be \'Jai Shri Ram\' and \'Jai \u2026 [+2305 chars]',",0
"It is highly likely that Narendra Modi will be handed another term as prime minister on May 23, even if the Bharatiya Janata Party takes a few losses here and there. If, by some unlikely chance, he loses, he has already established a global presence as a bold, imaginative and popular leader, a tribute to the democratic voice of India’s people",0
" Indian Prime Minister Narendra Modi claimed victory in the country's general election on Thursday, as early vote counts showed his Bharatiya Janata Party on course for a significant win.\r\nEarly data from the nation's Electoral Commission showed the BJP led in\u2026 [+2970 chars]",0
" With the last phase of Lok Sabha election scheduled to take place on Sunday, all political parties are trying their best to woo the voters.\xa0The stakes are very high for BJP, Congress, BSP, SP and TMC in the last phase and this is the reason why the senior lea\u2026 [+12897 chars]',",0
" Former Law Minister Ashwani Kumar\r\nSenior Congress leader and former Law Minister Ashwani Kumar has said that Prime Minister Narendra Modi has a right to defend himself but he cannot denigrate the dead.\r\nHe was referring to Modis remarks on Rajiv Gandhi in hi\u2026 [+2050 chars]',",0
" 'After the exit polls, it is now time for the final countdown to the 2019 Lok Sabha elections on May 23 the day on which the results will be declared by the Election Commission of India. On Thursday, votes will be counted for 542 Lok Sabha seats, instead of to\u2026 [+2055 chars]',",0
" JAIPUR, India (Reuters) - In January, India\u2019s main opposition Congress party seemed poised for a strong fight back against Prime Minister Narendra Modi after victories in three heartland states late last year. \r\nBut just over four months later, even Congress \u2026 [+5543 chars]',",0
"# This # country # # # # # # # # Prime Minister # of the country # # # # # # # # # # To limit # to # number # What is so angry, arrogance, and dilemma that pretend to the Prime Minister of India, language like the streets of the street can not be the head of the country with 125 crores of population, it would have been taught within your union, criticism in democracy, most of the opposition There are big weapons, you have to criticize yourself. Dasht not do # Remember #
# # Of your # Shurawati # days # When # You used to call Manmohan Singh a poor woman, Sonia Gandhi had called a jersey cow, Shashi Tharoor was said to have been a friend of 50 crore girl friend, Congress had called the widow, did not know what No, and now 30 years ago the person who was martyred was wrong, # America # of # famous # Magazine # has told you the head of the country, whether the judge, or the journalist Amar Amar, like Amar Gauri Lankesh The journalist had to suffer not some where consequences, because you have a team that evidence also leaves no:",1
Whether politicisation of national security during election times will bring in electoral dividends or not will be clear in a few days from now. National security issues with internal and external dimensions and dynamics have been added to political discourse in India. This entails significant implications for Indian polity in the coming times.,0
"During an election campaign in Madhya Pradesh’s Sehore, Sadhvi Pragya said that if the BJP came to power once again at the Centre, they would totally ban the consumption and sale of beef in States like Goa and the North-East as well as in certain southern states, where it is still being sold.",1
" JAIPUR, India (Reuters) - In January, India\u2019s main opposition Congress party seemed poised for a strong fight back against Prime Minister Narendra Modi after victories in three heartland states late last year. \r\nBut just over four months later, even Congress \u2026 [+5543 chars]',",0
" Amarinder Singh campaigning for Congresss Sangrur candidate Kewal Singh Dhillon. (Express photo by Gurmeet Singh)\r\nLast week, when the Time magazine featured Prime Minister Narendra Modi on its cover as the Divider in Chief, no leader made as much political h\u2026 [+3957 chars]",1
" When the results started trickling in on Thursday showing Indian Prime Minister Narendra Modi and his Hindu nationalist BJP government were set for a landslide victory after a divisive and polarizing campaign, I was not shocked. As a journalist, I have covere\u2026 [+7538 chars]",1
This is not sand in front of the two bald heads. it is human crowd at the BJP Kolkata rally. Yesterday was an unusual day in Kolkata. Modi ji was in town! Mamta B was not! On the vast Brigade Ground was a massive crowd of 10+ lakh Karyakartas(figure given by the Kolkata Police),0
" Reopening wounds, referencing popular culture to deliver insults and sexist jibes, it was all par for the electoral course in a season that tumbled to a name-calling close in a medley of chowkidar', bhrashtachari', Aurangzeb, Mogambo and more.\r\nIt was not abo\u2026 [+4981 chars]",0
"Congress President Rahul Gandhi on Thursday said his party affirms its belief in the competitive banking sector and promised that it will merge all the public sector banks and create six-eight big banks, if his party is voted to power.",1
"day after an alleged attack on Rae Bareli MLA Aditi Singh, Congress leader Priyanka Gandhi Vadra called it an assault on democracy while a party delegation met Governor Ram Naik, demanding a judicial probe.",0
" Reopening wounds, referencing popular culture to deliver insults and sexist jibes, it was all par for the electoral course in a season that tumbled to a name-calling close in a medley of \u2018chowkidar', \u2018bhrashtachari', Aurangzeb, Mogambo and more.\r\nIt was not a\u2026 [+4987 chars]",0
"Samajwadi Party president Akhilesh Yadav said Prime Minister Narendra Modi has been taught to use the ‘chillam’ by Uttar Pradesh CM Yogi Adityanath.“While interacting with the media in Gonda, Uttar Pradesh, on being asked about the degrading comments being used during election rallies by political leaders, Samajwadi Party president Akhilesh Yadav alleged that PM Modi too had been taught to use the ‘chillam’ by UP CM Yogi Adityanath.UP CM Yogi Adityanath aur unke kuchh adhikariyo ne Pradhan Mantri ji ko bhi chillam sikha diya….Jo log humein keh rahe hain tonti-tonti, vahi hain chillam wale,” said Akhilesh Yadav.",1
" Article r\xe9serv\xe9 aux abonn\xe9s\r\nIndian Prime Minister Narendra Modi addresses party supporters, standing next to his Bharatiya Janata Party (BJP) President Amit Shah at their headquarters in New Delhi, India, Thursday, May 23, 2019. Modi's Hindu nationalist part\u2026 [+3518 chars]"",",0
" Indias Muslim population is rising. In 2015, their number stood at 195 million, which, due to high birth rates, has almost doubled since 1991, according to the Pew Research Center. Their share has increased from 12% to 15% in this time period. By 2060, Pew es\u2026 [+7403 chars]",0
" Former United States Vice President Joe Biden formally launched his presidential campaign for the 2020 United States presidential race on Saturday. Addressing a rally in Philadelphia, Pennsylvania, Biden called President Donald Trump \u201cthe divider-in-chief\u201d fo\u2026 [+2437 chars]",0
Picture speaks more than a thousand words. Mamta adopted her mother's religion Islam which is evident from this picture where she greets Basu with an adab. Her masters degree too was in Islamic History.,0
" The majority view in the party, however, was that Rahul should continue.\r\nA DAY after Rahul Gandhi triggered a churn in the Congress expressing his intention to step down and ticking off two chief ministers and a senior leader for lobbying for tickets for the\u2026 [+3512 chars]',",0
Bahujan Samaj Party President Mayawati on Friday alleged that Prime Minister Narendra Modi's men were bribing and threatening voters in Varanasi and questioned why the Election Commission is not keeping an eye on his Lok Sabha constituency like in West Bengal.,1
" Indian opposition leader Rahul Gandhi, scion of the Nehru-Gandhi dynasty, offered to resign Saturday after his Congress party was trounced in a second straight national election but the gesture was rejected, party officials said.\r\nWhile Prime Minister Narendr\u2026 [+2273 chars]',",0
" Nearly 1.5 crore young ""digital natives most of whom cast their votes for the first time, chose to vote for Narendra Modi as India\'s next prime minister and Chinese short video-sharing app TikTok played a great role in creating a ""Modi wave"" among them.Whil\u2026 [+2937 chars]',",0
" As someone who would love to preserve her sane and mannerly demeanour, Nirmala Sitharaman could be hoping for the din around her to die down \u2014 needless, yet acrimonious, arguments over growth and jobs raging for a year; and now the jubilation following her pa\u2026 [+4030 chars]",1
Even in the state elections of #Delhi @ArvindKejriwal was slapped and also suffered as a victim of ink on his face but the results where on his side... Now it is clear who is going to win the #2019Elections in #Delhi..,0
"In this special report from the Gorakhpur Lok Sabha constituency, we visit Uttar Pradesh chief minister Adityanath’s adopted village Jungle Aurahi. We speak to people about the implementation of Central government schemes and the problems the residents face in their everyday lives.",0
" Indian National Congress president Rahul Gandhi attends a party executive meeting in New Delhi with his mother and predecessor, Sonia, and former prime minister Manmohan Singh. PHOTO: AFP \r\nAs the results of the\xa0General Election tumbled in a week ago, concern\u2026 [+7761 chars]',",0
" Delhi Chief Minister Arvind Kejriwal on Monday announced that his government has decided to make commute for women in public transport buses and Metro trains free. While the government has ambitious plans for implementation, many questioned the success of the\u2026 [+4453 chars]",1
"When it comes to social media marketing, the Bharatiya Janata Party seems to leave no holds barred, as it sponsored posts on its official Facebook page to a tune of Rs. 1.2 crore, between April 21 and April 27, 2019.With the general elections in full swing, all the major players have found themselves sponsoring political ads on social media, but with its mammoth expenditure, the BJP takes the first slot.",0
"Rahul has found the women who give birth to 52 children every year. After he loses the election, he’ll marry one of these women and make 52 children every year",1
"More than two months after the Election Commission announced the dates for the Lok Sabha polls, campaigning came to an end on Friday as the last phase of polling is scheduled to be held on Sunday.",0
" Mamata Banerjee on the last day of campaigning in West Bengal. (Photo: PTI)\xa0\r\nThe Election Commission of India passed an unprecedented order Wednesday, ending the campaign in West Bengal at 10 pm the following day instead of 5 pm on May 17 as was notified ear\u2026 [+5206 chars]',",1
" Indian Prime Minister Narendra Modi has condemned a firebrand Hindu candidate from his ruling\xa0Bharatiya Janata Party (BJP)\xa0who called the assassin of independence icon Mahatma Gandhi a ""patriot"".\r\nModi was forced to act on Friday after a backlash grew over th\u2026 [+3435 chars]',",1
" On 23rd May 2019, Prime Minister of Japan, H.E. Mr. Shinzo Abe called Prime Minister Shri Narendra Modi and congratulated him for the resounding victory of his party in the 2019 General Elections. Prime Minister Modi thanked Prime Minister Abe for his wishes.\u2026 [+556 chars]",0
" BHOPAL, India (Reuters) - A Hindu ascetic accused of plotting a bomb attack on Muslims in India defeated an opposition strongman by a big margin on Thursday as her ruling Hindu nationalist party won a massive victory in the country\u2019s general election. \r\nPragy\u2026 [+2487 chars]',",0
" Likewise, education is an urgent issue for Indias Dalits and other marginalized people, because without modern education we wouldnt have been able to overcome the limitations imposed by the caste system.\r\nMr. Modi and his Hindu nationalist colleagues time and\u2026 [+2164 chars]",0
" Admitting to reading the pulse of the people wrong, Mevani said he thought these issues would create a lot of trouble for Modi\r\nDalit leader and Vadgam MLA Jignesh Mevani is baffled by the poll results, as Hindutva trumped the agrarian crisis and unemployment\u2026 [+2355 chars]',",1
" The court said that while granting bail to Thakur, the Bombay High Court had specifically directed her to remain present at the time of hearing.\r\nThe special court hearing the 2008 Malegaon blast case Monday rejected an application from accused Pragya Singh T\u2026 [+3899 chars]',",0
" The D-day is almost here! After months of campaigning and 7 phases of polling, its time for 2019 Lok Sabha Elections results. On May 23, votes will be counted for 542 Lok Sabha constituencies, instead of 543, as polling in Tamil Nadus Vellore constituency w\u2026 [+2353 chars]"",",0
" Sidhu urged the voters to teach a lesson to the ones who are guilty of Guru Granth Sahib sacrilege. (File)\r\nIf Bathinda is won, the whole Punjab is won, said Punjab Local Government Minister Navjot Singh Sidhu during rallies at Lambi, Bathinda, Mansa and Budh\u2026 [+1918 chars]',",0
" Addressing his last rally of the ongoing Lok Sabha elections, Prime Minister Narendra Modi Friday said he is sure of the BJP-led ruling dispensation winning over 300 seats in the House.\r\n Addressing the rally in Khargone, Mr. Modi also thanked people for deci\u2026 [+2205 chars]',",0
"Lok Sabha Elections 2019 in India will be held in seven phases starting from April 11. The counting of the votes and results of the 2019 General Elections will be announced on Thursday, May 23, 2019.  ",0
" West Bengal CM Mamata Banerjee at a rally in Purulia district. (ANI)\r\nFighting one of the most decisive elections of her career, West Bengal Chief Minister Mamata Banerjee admits that the failure of the Left and Congress are behind the ascendance of the BJP. \u2026 [+10238 chars]',",0
" Congress President Rahul Gandhi on June 1 said that the party\'s newly-elected 52 members in Parliament will fight every inch of the way like ""a pride of brave-hearted lions"" to protect the Constitution and the country\'s institutions and there will be no walko\u2026 [+4807 chars]',",1
"A photograph related to BJP’s East Delhi candidate Gautam Gambhir’s campaign trail has gone viral on social media. In the image, Gambhir can be seen seated on the front passenger seat while an unidentified man is standing on top of the vehicle and waving at the crowd. It is being claimed that Gambhir had hired a doppelganger who was campaigning on his behalf. Aam Aadmi Party supporter Kapil tweeted the photo claiming that Gambhir had “hired a ‘duplicate’ to stand for him in the heat and campaign for him!",0
"The Rouse Avenue court on Friday issued a notice to Delhi police to file an FIR against Rahul Gandhi for allegedly making seditious comments about PM Narendra Modi in 2016.The matter will be next heard on May 15
",0
" \u201cThose who showed people dreams of smart cities, Digital India, they are not able to control the animals on the streets,\u201d says Akhilesh Yadav. (Express photo by Vishal Srivastav)\r\nIt is being said that this national election will hinge on Uttar Pradesh. Do yo\u2026 [+15061 chars]',",1
"The timely decision to patch up with the Shiv Sena to avoid division of Hindu votes, letting leaders from other parties join the BJP just before the polls by catching the Opposition off-guard and the strategy to sideline the Congress during the campaign by focusing solely only on the Nationalist Congress Party (NCP) chief Sharad Pawar, seemed to have worked in favour of the Bharatiya Janata Party (BJP) and its National Democratic Alliance partners in Maharashtra.",0
"The Rouse Avenue court on Friday extended interim protection from arrest to former finance minister P. Chidambaram and his son Karti Chidambaram and posted the matter on May 6 after the Enforcement Directorate (ED) sought more time to gather evidence in the case dealing with alleged irregularities in the approval by the Foreign Investment Promotion Board (FIPB) of the ?3,500 crore Aircel-Maxis deal.",1
" On the history side, the refrain from most analysts has been that caste matters, that people caste their vote. (Express Photo)\r\nWhat was Earthquake Modi all about? I know that there are several descriptions (wave, tsunami, Black Swan, Rashomon, 2.0, etc) but \u2026 [+5605 chars]',",1
" Nearly 1.5 crore young ""digital natives most of whom cast their votes for the first time, chose to vote for Narendra Modi as India\'s next prime minister and Chinese short video-sharing app TikTok played a great role in creating a ""Modi wave"" among them.Whil\u2026 [+2442 chars]',",0
" Many saw the election as a referendum on Prime Minister Modi\r\nIndia's Prime Minister Narendra Modi's Bharatiya Janata Party (BJP) is on course to win the general election, exit polls suggest. \r\nThe BJP and the main o\u2026 [+674 chars]"",",0
Fake fingers being made for casting votes. #2019LokSabhaElections #Elections2019 #APElections2019 #AndhraPradeshElections2019,1
"Slamming West Bengal Chief Minister Mamata Banerjee over the violence at BJP chief Amit Shah's Kolkata road-show, Gujarat Chief Minister Vijay Rupani today said she had lost her mental balance and was indulging in ''didigiri'' (bullying).",0
" Rajiv Gandhi on board INS Viraat. (Express Archives)\r\nIn a letter to me, dated August 4, 1987, as I left the PMO to take up an assignment in Lakshadweep, classified by the MHA as a punishment posting, Rajiv Gandhi wrote: Thank you\u2026 for your hard work and chee\u2026 [+5634 chars]',",1
" The complainant\u2019s advocate Mohd Irsad accused Tiwari of making \u201cfalse\u201d and \u201cfrivolous\u201d statements. (File)\r\nA Delhi court Monday admitted a criminal defamation complaint against Delhi BJP chief Manoj Tiwari and spokesperson Harish Khurana for \u201cdefaming\u201d an AAP\u2026 [+1395 chars]',",0
"""Hanuman doosre ki bibi ke apmaan ke liye Lanka jala diye"" - Kanhaiya Kumar This is not just Anti-Hindu rant but Anti-women as well. these are the people who stand & watch when women gets R*ped or Molested. sums up the kind of cretins contesting elections",1
